data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro
2020-08-02 01:58:38.796502;149  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. CENTRO SEN.SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;345  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;1713 ;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERM.WENC./COL.3 DE OUTUBRO   ;WENCESLAU ESCOBAR                    
2020-08-02 01:58:38.796502;314  ;SULLESTE;99999;TERMINAL/PARADA;TERMINAL AV. IPIRANGA         ;IPIRANGA                             
2020-08-02 01:58:38.796502;T5   ;NORTESUL;99999;TERMINAL/PARADA;TERMINAL SUL PERI MACHADO     ;PERI MACHADO                         
2020-08-02 01:58:38.796502;G261 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. CENTRO B. DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;375  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;274  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;187  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SALGADO FILHO        ;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;GT9  ;NORTELESTE;1;TERMINAL/PARADA;TERMINAL PRACA DOM FELICIANO  ;DOM FELICIANO                        
2020-08-02 01:58:38.796502;654  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC                  ;PCA RUI BARBOSA
2020-08-02 01:58:38.796502;718  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CPC                  ;PCA RUI BARBOSA
2020-08-02 01:58:38.796502;617  ;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL CPC                  ;PCA RUI BARBOSA
2020-08-02 01:58:38.796502;4972 ;TERMINALBAIRRO;1;TERMINAL/PARADA;TERMINAL AZENHA               ;AZENHA                               
